ID,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,Is_Term,Years_in_curent_job_new,Is_Home_Ownership,Is_Purpose,Is_Purpose_business loan,Is_Purpose_other,Is_Purpose_renewable energy,Is_Purpose_small business
0,Own Home,-1.1177861211158122,Unknown,0.0,-0.026674289431587547,1.1336448511821406,0.17862220210041144,2.7392337177656487,40.82299372898795,1.0,debt consolidation,Short Term,-1.0484410708054819,-0.7627720310960339,-0.8720845805099378,1.1733639061600163,0,0,-1.7068718463092056,0,other,0,1,0,0
1,Own Home,-0.43002711498280566,10+ years,0.0,0.7882225363853703,-0.42852756229603167,1.1966366683333496,-0.36506559973848624,33.743650064386216,0.0,debt consolidation,Long Term,-0.10022537395234424,0.3307808773619052,0.004909107517618329,0.6923634887239924,1,1,1.1640135221007732,0,other,0,1,0,0
2,Home Mortgage,-0.7769125577614293,8 years,0.0,-0.026674289431587547,2.369181214571453,1.1980822624278449,-0.36506559973848624,33.18988137706447,0.0,debt consolidation,Short Term,-1.0484410708054819,0.058378963956262485,-0.39103354425273446,0.89278032932222,0,0,0.6420343642080498,1,other,0,1,0,0
3,Own Home,-0.709002367785219,6 years,0.0,-0.637846908794306,0.5939852901624083,-0.9272572801885756,2.7392337177656487,41.00948204336546,1.0,debt consolidation,Short Term,-0.8751853786691351,-0.6102819540502153,-0.5849800401326214,-1.0312213404207637,0,0,0.12005520631532639,0,other,0,1,0,0
4,Rent,-0.7454584046138079,8 years,0.0,0.3807741234768914,-0.6699542080153857,-0.4376526303091621,2.7392337177656487,41.56781415395943,0.0,debt consolidation,Short Term,-0.8511979559059124,-0.6182920168977809,-0.9336309393408228,-0.029137137429626373,0,0,0.6420343642080498,0,other,0,1,0,0
5,Rent,-0.09995215890519674,7 years,0.0,0.1770499170226519,-0.5279385340628246,-0.47677402049144413,-0.36506559973848624,33.59872865414411,0.0,other,Long Term,0.29022336884704414,-0.39060299162630996,0.031657456927771346,-0.08952859010323193,1,1,0.3810447852616881,0,other,0,1,0,0
6,Home Mortgage,0.18460338983375185,10+ years,0.0,-0.43412270234006645,0.28155080746677397,-0.4329544495020521,-0.36506559973848624,73.0,0.0,home improvements,Short Term,-1.0484410708054819,-0.7494418518795628,-1.3413965292517143,1.0130304336811564,0,0,1.1640135221007732,1,other,0,1,0,0
7,Rent,-0.4115826689092386,10+ years,0.0,0.3807741234768914,-0.8971792863394835,-0.5515383400661285,-0.36506559973848624,18.0,0.0,other,Short Term,-0.1762251292417629,-0.6318015258794959,0.12129377517057252,-0.5903042911046633,1,0,1.1640135221007732,0,other,0,1,0,0
8,Home Mortgage,-1.21743654848105,5 years,0.0,1.195670949293849,-0.3717212927150074,-1.2299285437235512,2.7392337177656487,41.71392403133323,1.0,home improvements,Short Term,-0.8301792735836826,-0.9117950660138011,-1.5342529670051683,-0.12972741884832303,0,0,-0.14093437263103534,1,other,0,1,0,0
9,Home Mortgage,0.008133730866481658,1 year,0.0,-0.230398495885827,0.8922182054627869,-0.18002065778080867,-0.36506559973848624,5.99999999999999,0.0,debt consolidation,Long Term,1.5617942745331301,-0.26584925160489753,-0.058817367566131804,0.07060983062587664,1,1,-1.1848926884164823,1,other,0,1,0,0
10,Home Mortgage,-0.2338856496059486,< 1 year,0.0,-0.8415711152485453,-0.9681871233157641,-0.7035967688808642,-0.36506559973848624,34.537785311775416,0.0,debt consolidation,Short Term,-0.33831835731997617,-0.32197946812627093,-0.31213010602403857,-0.08318117501639094,0,0,-1.445882267362844,1,other,0,1,0,0
11,Home Mortgage,0.5863893155145313,4 years,0.0,0.1770499170226519,-0.10189151220514098,0.49303891765316266,-0.36506559973848624,34.10249258390538,0.0,debt consolidation,Short Term,0.8504840648712274,0.3557674913192365,-0.23364592092089367,0.6923634887239924,0,0,-0.4019239515773971,1,other,0,1,0,0
12,Home Mortgage,-0.5465373382245686,10+ years,0.0,-0.637846908794306,-0.6131479384343612,-0.31902356492963274,-0.36506559973848624,34.07109883497779,0.0,debt consolidation,Short Term,0.2927171108174782,0.08013764213920169,0.09488082826086029,-0.5502209229850178,0,0,1.1640135221007732,1,other,0,1,0,0
13,Rent,0.8873680470096615,10+ years,0.0,-0.026674289431587547,-0.08768994480988518,2.166449606477956,-0.36506559973848624,34.574507537731144,0.0,debt consolidation,Long Term,1.4371071760114278,2.350930682835615,0.29805089290286896,0.33161317564718307,1,1,1.1640135221007732,0,other,0,1,0,0
14,Own Home,1.1309213062444554,7 years,0.0,-0.026674289431587547,-0.08768994480988518,2.060740538317979,-0.36506559973848624,31.663506624282498,0.0,other,Short Term,-0.5304552386610377,3.4119651271959754,3.3571732487982158,1.133280538040093,0,0,0.3810447852616881,0,other,0,1,0,0
15,Rent,-0.6540778373653662,10+ years,0.0,-0.43412270234006645,0.011721026956907512,-0.6217400032800617,-0.36506559973848624,33.928598858488556,0.0,debt consolidation,Short Term,-0.7470545412358809,-0.7814821032698249,-0.4507351893311951,0.29152980752753754,0,0,1.1640135221007732,0,other,0,1,0,0
16,Rent,0.2031625513320611,7 years,0.0,-1.045295321702785,-0.07348837741462885,0.6170889608870499,-0.36506559973848624,34.39804447132959,0.0,debt consolidation,Long Term,0.15924254059043666,0.781855013538991,0.04440275194452137,-0.015066116037423994,1,1,0.3810447852616881,0,other,0,1,0,0
17,Home Mortgage,2.527072088694459,3 years,0.0,0.5844983299311308,1.446079333877775,0.9099121146532759,-0.36506559973848624,30.324751387383934,0.0,debt consolidation,Long Term,1.1623205607931233,1.2570788914356028,2.845432883750672,-3.0353897464066977,1,1,-0.6629135305237588,1,other,0,1,0,0
18,Home Mortgage,0.04618587797005981,2 years,0.0,-0.43412270234006645,1.5170871708540556,-0.4348066169356243,-0.36506559973848624,40.0,0.0,debt consolidation,Long Term,1.4576508598630986,-0.2763699311658791,-0.40922912990164734,-0.9911379723011182,1,1,-0.9239031094701204,1,other,0,1,0,0
19,Rent,-0.43688065752643873,2 years,0.0,-1.045295321702785,-0.8261714493632029,-0.8211416386895221,-0.36506559973848624,34.453833965282165,0.0,debt consolidation,Short Term,0.14107384909156,-0.5326919422879761,-0.32395304416457643,-0.3097207142671448,1,0,-0.9239031094701204,0,other,0,1,0,0
20,Home Mortgage,0.36291573355669776,10+ years,0.0,-0.026674289431587547,1.162047985972653,0.133311862201071,-0.36506559973848624,44.0,0.0,debt consolidation,Long Term,1.627700312323173,-0.1163480039798125,-0.8026562629186942,-0.9109712360618272,0,1,1.1640135221007732,1,other,0,1,0,0
21,Home Mortgage,-0.4023003270782127,6 years,0.0,-0.8415711152485453,2.2839718101973983,-0.406301308384793,-0.36506559973848624,45.0,0.0,debt consolidation,Short Term,0.2230110852629645,-0.3342336687512779,-0.8828174605240431,-0.029137137429626373,1,0,0.12005520631532639,1,other,0,1,0,0
22,Rent,-1.1409438806579832,Unknown,0.0,-1.045295321702785,1.4176761990872628,-0.6376415383195112,-0.36506559973848624,34.495110558447486,0.0,debt consolidation,Short Term,-1.0484410708054819,-0.41570915876047054,-1.111142712699111,0.732446856843638,0,0,-1.7068718463092056,0,other,0,1,0,0
23,Own Home,-0.2650326886277666,10+ years,0.0,1.195670949293849,-0.4995353992723122,0.2075340839903196,-0.36506559973848624,17.0,0.0,debt consolidation,Short Term,-0.586505058186984,-0.38307114148606175,-0.09914951824413681,-0.08935182355193637,1,0,1.1640135221007732,0,other,0,1,0,0
24,Own Home,1.1998886846500658,Unknown,0.0,0.1770499170226519,0.9490244750438112,1.2676966530408893,-0.36506559973848624,61.0,0.0,debt consolidation,Short Term,0.9939336029800051,1.662663043829126,1.6112355327536727,-0.0810397111554576,0,0,-1.7068718463092056,0,other,0,1,0,0
